day_key,source,cited_pages,section_claimed,pdf_page_checked,found_yes_no,note
1sw-wk0-day2,day.md,p.21,What is Happening at My District?,27,yes,FYF PDF p.27 content: WHAT IS HAPPENING AT MY DISTRICT? / What’s Happening at / IRVING ISD
1sw-wk0-day2,canvas_student_page,p.21,What is Happening at My District?,27,yes,FYF PDF p.27 content: WHAT IS HAPPENING AT MY DISTRICT? / What’s Happening at / IRVING ISD
1sw-wk0-day3,day.md,p.9,"(page ref, no named section)",15,yes,FYF PDF p.15 content: My Building Blocks / Most people think experience just means having a 
1sw-wk0-day3,day.md,p.10,"(page ref, no named section)",16,yes,"FYF PDF p.16 content: In Your Community: Think about volunteering, cultural or faith activit"
1sw-wk0-day3,day.md,p.11,"(page ref, no named section)",17,yes,FYF PDF p.17 content: Step 4: Reflect / Look back at your full inventory and your conversati
1sw-wk0-day3,canvas_student_page,p.9,"(page ref, no named section)",15,yes,FYF PDF p.15 content: My Building Blocks / Most people think experience just means having a 
1sw-wk0-day3,canvas_student_page,p.10,"(page ref, no named section)",16,yes,"FYF PDF p.16 content: In Your Community: Think about volunteering, cultural or faith activit"
1sw-wk0-day3,canvas_student_page,p.11,"(page ref, no named section)",17,yes,FYF PDF p.17 content: Step 4: Reflect / Look back at your full inventory and your conversati
1sw-wk0-day4,day.md,p.22,"(page ref, no named section)",28,yes,FYF PDF p.28 content: Building a C / are / er Communit
1sw-wk0-day4,canvas_student_page,(none),(none),,n/a,student page cites no workbook page while day.md cites [22]
1sw-wk0-day5,day.md,p.4,"(page ref, no named section)",10,yes,FYF PDF p.10 content: Perks and Quirks / Every career (called “Hats” in this workbook) has d
1sw-wk0-day5,day.md,p.5,"(page ref, no named section)",11,yes,FYF PDF p.11 content: Hat #1: ______________________________ / Career Detail / Research Note
1sw-wk0-day5,canvas_student_page,p.5,"(page ref, no named section)",11,yes,FYF PDF p.11 content: Hat #1: ______________________________ / Career Detail / Research Note
1sw-wk1-day1,day.md,p.199,Exploring the World of MANUFACTURING,205,yes,FYF PDF p.205 content: Career / Climb / 12
1sw-wk1-day1,day.md,p.210,"(page ref, no named section)",216,yes,FYF PDF p.216 content: WHAT IS HAPPENING AT MY DISTRICT? / What’s Happening at / IRVING ISD
1sw-wk1-day1,day.md,p.211,"(page ref, no named section)",217,yes,FYF PDF p.217 content: s / Students in the Robotics / Manufacturing program apply
1sw-wk1-day1,day.md,p.212,App Exploration,218,yes,FYF PDF p.218 content: 12 / App Exploration / Get out your laptop. Open the Hats & Ladders ap
1sw-wk1-day1,canvas_student_page,(none),(none),,n/a,"student page cites no workbook page while day.md cites [199, 210, 211, 212]"
1sw-wk1-day2,day.md,p.207,Machine Breakdown Mystery,213,yes,FYF PDF p.213 content: Machine / Breakdown Mystery / 12
1sw-wk1-day2,day.md,p.208,Machine Breakdown Mystery,214,yes,FYF PDF p.214 content: Step 2: Understand the Problem / • The machine made a clicking noise b
1sw-wk1-day2,day.md,p.212,App Exploration,218,yes,FYF PDF p.218 content: 12 / App Exploration / Get out your laptop. Open the Hats & Ladders ap
1sw-wk1-day2,canvas_student_page,p.207,Machine Breakdown Mystery,213,yes,FYF PDF p.213 content: Machine / Breakdown Mystery / 12
1sw-wk1-day2,canvas_student_page,p.208,Machine Breakdown Mystery,214,yes,FYF PDF p.214 content: Step 2: Understand the Problem / • The machine made a clicking noise b
1sw-wk1-day3,day.md,p.204,Super Sports Manufacturing,210,yes,FYF PDF p.210 content: 12 / Super Sports / Manufacturing
1sw-wk1-day3,day.md,p.205,Super Sports Manufacturing,211,partial,"section title ""Super Sports Manufacturing"" not literally on printed p.205; appears on printed p.204 | page content: Step 2: Choose Your Metal / Different metals have different strengths "
1sw-wk1-day3,day.md,p.206,Super Sports Manufacturing,212,partial,"section title ""Super Sports Manufacturing"" not literally on printed p.206; appears on printed p.204 | page content: Step 4: Label Your Welds / Now, go back to your sketch and clearly / l"
1sw-wk1-day3,canvas_student_page,p.204,Super Sports Manufacturing,210,yes,FYF PDF p.210 content: 12 / Super Sports / Manufacturing
1sw-wk1-day3,canvas_student_page,p.205,Super Sports Manufacturing,211,partial,"section title ""Super Sports Manufacturing"" not literally on printed p.205; appears on printed p.204 | page content: Step 2: Choose Your Metal / Different metals have different strengths "
