day_key,google_doc_title,google_doc_contains,retargeted_pdfs,response_route_candidates,student_page,teacher_page,onenote_status,google_doc_id,flag
1SW-Wk0-Day1,CCE First-Week Goal Setting,exit-ticket-only (⟦EMPTY PARAGRAPH⟧; 1544 chars body),cce-first-week-goal-setting.pdf [worksheet] #14615030 -> student:NOT-LINKED; teacher:LINKED docMatch=0.00,(none),student-1sw-wk0-day-1-cce-notebook-and-first-week-goal,teacher-day-1-facilitator-guide,pending,1rb8sHX56FYPeddRX-QX0_YG-bD7FrZZpQnh06q0r9w8,COLLAPSED
1SW-Wk0-Day2,CCE | 1SW Wk0 Day 2 | Who Are You at Work?,exit-ticket-only (H&L Setup and Discover Your Core; 1840 chars body),(none),(none),student-1sw-wk0-day-2-who-are-you-at-work,teacher-day-2-facilitator-guide,pending,1vfmAFfDd9dR3rygesc0-FhFljoM6OLueUZjc8cxv8LM,
1SW-Wk0-Day3,CCE | 1SW Wk0 Day 3 | Work Values and Building Blocks,"exit-ticket-only (H&L Setup and Discover Your Core; 1840 chars body) — WRONG-DAY CONTENT: body is the 1SW Wk0 Day 2 ""Who Are You at Work?"" ticket",(none),(none),student-1sw-wk0-day-3-work-values-and-building-blocks,teacher-day-3-facilitator-guide,pending,1NWbgTULXk-_2WflAccPMHGQRKeYFt8xu-41oMKczRhQ,WRONG-DAY-DOC
1SW-Wk0-Day4,CCE | 1SW Wk0 Day 4 | My Career Journey Reflection,"exit-ticket-only (H&L Setup and Discover Your Core; 1840 chars body) — WRONG-DAY CONTENT: body is the 1SW Wk0 Day 2 ""Who Are You at Work?"" ticket",my-career-journey.pdf [worksheet/2p] #14615031 -> student:NOT-LINKED; teacher:LINKED docMatch=0.00,(none),student-1sw-wk0-day-4-my-career-journey,teacher-day-4-facilitator-guide,pending,1zE7zuPdx5arGs0IoTFhXjRxVvz4JZ-TVdG7NO1nNsjU,COLLAPSED WRONG-DAY-DOC
1SW-Wk0-Day5,"CCE | 1SW Wk0 Day 5 | Career Perks, Neutrals, and Quirks","exit-ticket-only (H&L Setup and Discover Your Core; 1840 chars body) — WRONG-DAY CONTENT: body is the 1SW Wk0 Day 2 ""Who Are You at Work?"" ticket",(none),(none),student-1sw-wk0-day-5-career-perks-neutrals-and-quirks,teacher-day-5-facilitator-guide,pending,1nMR01dH0hSxJzcQqCwizzB1QDVS1payEx8a7bR01lsA,WRONG-DAY-DOC
1SW-Wk1-Day1,CCE | 1SW Wk1 Day 1 | Manufacturing Cluster Tour - More Than Assembly Lines,exit-ticket-only (Career and College Explorations - Comparison Matrix; 1153 chars body),1sw-wk1-day1-manufacturing-cluster-tour-more-than-assembly-lines.pdf [exit-ticket] #14518997 -> student:NOT-LINKED; teacher:LINKED docMatch=0.00 || manufacturing-pathways-scaffold.pdf [worksheet/1p] #14518990 -> student:NOT-LINKED; teacher:LINKED docMatch=0.00,manufacturing-pathways-scaffold.pdf/1p #14518990 inDoc=no student=NOT-LINKED teacher=LINKED,student-1sw-wk1-day-1-manufacturing-cluster-tour,teacher-1sw-wk1-day-1-facilitator-guide,pending,1yGaTHI61PKqnw80nr0ndAJH0C2XaoBCVUY58QiyObXk,COLLAPSED-MULTI
1SW-Wk1-Day2,CCE | 1SW Wk1 Day 2 | Machine Breakdown Mystery + Hat Research,exit-ticket-only (Career and College Explorations - Mini-Case; 1106 chars body),(none),"career-research-worksheet.pdf/1p #14517430,14565289,14580290,14580292 inDoc=no student=NOT-LINKED teacher=LINKED || technician-checklist-scaffold.pdf/1p #14518991 inDoc=no student=NOT-LINKED teacher=LINKED",student-1sw-wk1-day-2-machine-breakdown-mystery,teacher-1sw-wk1-day-2-facilitator-guide,pending,1HvQ7cg0uy1lgTHuY-9oDHxS8YaW22_jhdIoArf3ViM0,COLLAPSED
1SW-Wk1-Day3,CCE | 1SW Wk1 Day 3 | Designing Metalworks + Job References,exit-ticket-only (Career and College Explorations - Ranked Justification; 1283 chars body),(none),(none),student-1sw-wk1-day-3-design-build-test,teacher-1sw-wk1-day-3-facilitator-guide,pending,1kqewP1o0mhKeKfhQVdfKNc7mFh5hMi-ZSnRMgKNdUs0,
1SW-Wk1-Day4,CCE | 1SW Wk1 Day 4 | Sphero Factory Floor + Task Bot in Action (Part 1),exit-ticket-only (Career and College Explorations - Decision Tree; 1347 chars body),1sw-wk1-robots-for-crayons-action-plan.pdf [worksheet/2p] #14564524 -> student:NOT-LINKED; teacher:LINKED docMatch=0.00,1sw-wk1-robots-for-crayons-action-plan.pdf/2p #14564524 inDoc=no student=NOT-LINKED teacher=LINKED,student-1sw-wk1-day-4-robots-for-crayons-action-plan,teacher-1sw-wk1-day-4-facilitator-guide,pending,1cVB33qTPmpVO8fReqlPuUrHC8zw7UtRFpgrDAGMf02o,COLLAPSED
1SW-Wk1-Day5,CCE | 1SW Wk1 Day 5 | Sphero Run-Through + Task Bot Presentations + Manufacturing Favorites,exit-ticket-only (Career and College Explorations - Concept Map; 1505 chars body),(none),(none),student-1sw-wk1-day-5-xello-matchmaker,teacher-1sw-wk1-day-5-facilitator-guide,pending,1e88SgiPH05W_ZOvy5N2nnDKOdfKgLSwRsBsw121cSQM,
