source_type,identifier,audience,classification,sentence,origin_file,origin_line,note
canvas-page,student-1sw-wk2-day-2-compare-programming-careers,student,B,"# STUDENT: 1SW Wk2 Day 2 - Compare Programming Careers | published=True Week 2 · Day 2 Start your three-career evidence packet Browse four programming Hats, choose three careers, and record their HQIM work, preparation, and salary evidence.",.tmp/canvas-dump-20260914/canvas/pages/student-1sw-wk2-day-2-compare-programming-careers.txt,,"1SW Wk2 salary packet: HQIM = the localized salary figure from H&L OR Xello (worksheet field literally reads ""Platform: H&L / Xello""). Needs a phrasing decision."
canvas-page,student-1sw-wk2-day-2-compare-programming-careers,student,B,1–3: HQIM Sections) & Day 2 Exit Ticket.,.tmp/canvas-dump-20260914/canvas/pages/student-1sw-wk2-day-2-compare-programming-careers.txt,,"1SW Wk2 salary packet: HQIM = the localized salary figure from H&L OR Xello (worksheet field literally reads ""Platform: H&L / Xello""). Needs a phrasing decision."
canvas-page,student-1sw-wk2-day-2-compare-programming-careers,student,B,choose three careers and complete the Day 2 HQIM sections on pages 1–3;,.tmp/canvas-dump-20260914/canvas/pages/student-1sw-wk2-day-2-compare-programming-careers.txt,,"1SW Wk2 salary packet: HQIM = the localized salary figure from H&L OR Xello (worksheet field literally reads ""Platform: H&L / Xello""). Needs a phrasing decision."
canvas-page,student-1sw-wk2-day-2-compare-programming-careers,student,B,"On pages 1–3, complete only the Day 2 — HQIM career evidence section: exact displayed career title;",.tmp/canvas-dump-20260914/canvas/pages/student-1sw-wk2-day-2-compare-programming-careers.txt,,"1SW Wk2 salary packet: HQIM = the localized salary figure from H&L OR Xello (worksheet field literally reads ""Platform: H&L / Xello""). Needs a phrasing decision."
canvas-page,student-1sw-wk2-day-2-compare-programming-careers,student,B,pages 1–3 have complete Day 2 HQIM sections for three careers;,.tmp/canvas-dump-20260914/canvas/pages/student-1sw-wk2-day-2-compare-programming-careers.txt,,"1SW Wk2 salary packet: HQIM = the localized salary figure from H&L OR Xello (worksheet field literally reads ""Platform: H&L / Xello""). Needs a phrasing decision."
canvas-page,student-1sw-wk2-day-2-compare-programming-careers,student,A,Use the verified model for one career and any available HQIM Hat pages for the other two.,.tmp/canvas-dump-20260914/canvas/pages/student-1sw-wk2-day-2-compare-programming-careers.txt,,"""HQIM Hat pages"" = Hats & Ladders Hat profiles specifically."
canvas-page,student-1sw-wk2-day-3-resilience-and-salary-showdown,student,B,Keep the Day 2 HQIM figure and Day 3 BLS median in their separate labeled sections.) Need the model or BLS extraction guide?,.tmp/canvas-dump-20260914/canvas/pages/student-1sw-wk2-day-3-resilience-and-salary-showdown.txt,,"1SW Wk2 salary packet: HQIM = the localized salary figure from H&L OR Xello (worksheet field literally reads ""Platform: H&L / Xello""). Needs a phrasing decision."
canvas-page,student-1sw-wk2-day-3-resilience-and-salary-showdown,student,B,"The HQIM shows [$] as a [range/median label] for [region] , so I kept the two measures separate.” You are done when all four failure rows include a fix and resilience action;",.tmp/canvas-dump-20260914/canvas/pages/student-1sw-wk2-day-3-resilience-and-salary-showdown.txt,,"1SW Wk2 salary packet: HQIM = the localized salary figure from H&L OR Xello (worksheet field literally reads ""Platform: H&L / Xello""). Needs a phrasing decision."
canvas-page,student-1sw-wk2-day-3-resilience-and-salary-showdown,student,B,pages 1–3 keep the Day 2 HQIM evidence and add the four Day 3 BLS fields;,.tmp/canvas-dump-20260914/canvas/pages/student-1sw-wk2-day-3-resilience-and-salary-showdown.txt,,"1SW Wk2 salary packet: HQIM = the localized salary figure from H&L OR Xello (worksheet field literally reads ""Platform: H&L / Xello""). Needs a phrasing decision."
canvas-page,student-1sw-wk2-day-3-resilience-and-salary-showdown,student,B,"If you were absent or a platform is unavailable Use the embedded failed-test images, your Day 2 HQIM records, and the fixed career card inside the BLS guide to complete the same four-row chart and pages 1–4.",.tmp/canvas-dump-20260914/canvas/pages/student-1sw-wk2-day-3-resilience-and-salary-showdown.txt,,"1SW Wk2 salary packet: HQIM = the localized salary figure from H&L OR Xello (worksheet field literally reads ""Platform: H&L / Xello""). Needs a phrasing decision."
